,hi-en,hi,len-hi,len-hi-en
132,oho,ओहो,3,3
133,ate,आते,3,3
134,gaz,ग़ज़,2,3
135,ban,बन,2,3
136,sur,सुर,3,3
137,odh,ओढ़,2,3
138,ila,इला,3,3
139,kho,खो,2,3
140,ala,अल्ला,5,3
141,aha,अहा,3,3
142,dil,दिल,3,3
143,baz,बाज़,3,3
144,par,पर,2,3
145,rag,राग,3,3
146,bin,बिन,3,3
147,ani,आनी,3,3
148,ali,अली,3,3
149,kar,कर,2,3
150,raz,राज़,3,3
151,zor,ज़ोर,3,3
152,pat,पत,2,3
153,jad,जड़,2,3
154,ana,आना,3,3
155,dag,दाग,3,3
156,dor,डोर,3,3
157,rup,रूप,3,3
158,vah,वह,2,3
159,mor,मोर,3,3
160,mit,मिट,3,3
161,veg,वेग,3,3
162,sai,सै,2,3
163,hal,हाल,3,3
164,sej,सेज,3,3
165,man,मान,3,3
166,dal,डाल,3,3
167,anu,अणु,3,3
168,not,नोट,3,3
169,sir,सिर,3,3
170,the,थे,2,3
171,mil,मिल,3,3
172,ris,रिस,3,3
173,sak,साख़,3,3
174,kah,कह,2,3
175,nil,नील,3,3
176,udi,उड़ी,3,3
177,rat,रात,3,3
178,din,दिन,3,3
179,nun,नूँ,3,3
180,tap,ताप,3,3
181,dir,दिर,3,3
182,var,वार,3,3
183,ham,हम,2,3
184,boe,बोए,3,3
185,mod,मोड़,3,3
186,izi,ईज़ी,3,3
187,oha,ओह,2,3
188,jan,जाँ,3,3
189,sau,सौ,2,3
190,pag,पाग,3,3
191,iko,इक्को,5,3
192,men,में,3,3
193,pap,पाप,3,3
194,gai,गैइ,3,3
195,gae,गए,2,3
196,tut,टूट,3,3
197,rah,रह,2,3
198,tim,टिम,3,3
199,don,डोन,3,3
200,kie,किए,3,3
201,gop,गोप,3,3
202,lad,लड़,2,3
203,nas,नस,2,3
204,sui,सुई,3,3
205,kin,कीं,3,3
206,kad,कद,2,3
207,nau,नौ,2,3
208,kot,कोट,3,3
209,mua,मुआ,3,3
210,dai,दई,2,3
211,tui,तुई,3,3
212,roj,रोज,3,3
213,ori,ओरी,3,3
214,ute,उत्ते,5,3
215,pir,पीर,3,3
216,lat,लट,2,3
217,gay,गाय,3,3
218,aam,आम,2,3
219,pak,पाक,3,3
220,aai,आई,2,3
221,sas,सास,3,3
222,lok,लोक,3,3
223,tat,तट,2,3
224,akl,अक्ल,4,3
225,kas,कस,2,3
226,hot,होत,3,3
227,ari,आरी,3,3
228,udo,उड़ोओ,4,3
229,pit,पीत,3,3
230,ron,रों,3,3
231,khu,खू,2,3
232,nor,नोओर,4,3
233,for,फ़ोर,3,3
234,pul,पुल,3,3
235,day,दाय,3,3
236,jun,जूं,3,3
237,bha,भा,2,3
238,sad,सद,2,3
239,ilm,इल्म,4,3
240,ore,ओरे,3,3
241,hoa,होऽ,3,3
242,ser,सेर,3,3
243,pan,पन,2,3
244,bai,बाई,3,3
245,rob,रोब,3,3
246,rol,रोल,3,3
247,out,आउट,3,3
248,toh,तो,2,3
249,das,डस,2,3
250,mat,मत,2,3
251,nam,नाम,3,3
252,chu,छू,2,3
253,jud,जुड़,3,3
254,pai,पाई,3,3
255,hir,हीर,3,3
256,bag,बाग़,3,3
257,yar,यार,3,3
258,thi,थी,2,3
259,sun,सुन,3,3
260,bhi,भी,2,3
261,saz,साज़,3,3
262,nai,नई,2,3
263,hue,हुए,3,3
264,dol,डोल,3,3
265,koy,कोय,3,3
266,maf,माफ़,3,3
267,kub,ख़ूब,3,3
268,tab,तब,2,3
269,ras,रस,2,3
270,bat,बात,3,3
271,aen,आएं,3,3
272,ain,आईं,3,3
273,abi,अबी,3,3
274,sid,सिड,3,3
275,gol,गोल,3,3
276,gau,गाऊ,3,3
277,tip,टिप,3,3
278,one,वन,2,3
279,naa,ना,2,3
280,isa,ईसा,3,3
281,goa,गोआ,3,3
282,ank,अंक,3,3
283,gal,गाल,3,3
284,had,हद,2,3
285,tum,तुम,3,3
286,lae,लाए,3,3
287,chi,चि,2,3
288,yug,युग,3,3
289,bam,बम,2,3
290,jal,जल,2,3
291,kul,कुल,3,3
292,uge,उगे,3,3
293,sip,सीप,3,3
294,raj,राज,3,3
295,saj,सज,2,3
296,hay,हाय,3,3
297,koe,कोए,3,3
298,nak,नाक,3,3
299,ghi,घी,2,3
300,bas,बस,2,3
301,tak,तक,2,3
302,aju,आजू,3,3
303,oye,ओये,3,3
304,lut,लूट,3,3
305,gar,गर,2,3
306,nis,निस,3,3
307,die,दिए,3,3
308,sab,सब,2,3
309,age,आगे,3,3
310,dip,दीप,3,3
311,jat,जट्ट,4,3
312,roi,रोई,3,3
313,soi,सोई,3,3
314,umr,उम्र,4,3
315,tir,तीर,3,3
316,kha,खा,2,3
317,aye,आये,3,3
318,ude,उड़े,3,3
319,che,छे,2,3
320,mel,मेल,3,3
321,bol,बोल,3,3
322,jit,जीत,3,3
323,isi,इसी,3,3
324,yah,यह,2,3
325,keh,केह,3,3
326,sho,शो,2,3
327,yun,यूँ,3,3
328,mai,माई,3,3
329,des,देस,3,3
330,kak,ख़ाक,3,3
331,tal,टाल,3,3
332,elo,एलो,3,3
333,son,सोन,3,3
334,nim,नीम,3,3
335,taj,ताज,3,3
336,bar,बार,3,3
337,hil,हिल,3,3
338,pie,पिए,3,3
339,ruk,रुक,3,3
340,ran,रण,2,3
341,gir,गिर,3,3
342,dam,दम,2,3
343,aur,और,2,3
344,nag,नाग,3,3
345,pae,पाए,3,3
346,gam,ग़म,2,3
347,adi,आड़ी,3,3
348,pam,पम,2,3
349,vad,वाद,3,3
350,bap,बाप,3,3
351,roz,रोज़,3,3
352,kis,किस,3,3
353,are,अरे,3,3
354,nur,नूर,3,3
355,gum,गुम,3,3
356,gun,गुन,3,3
357,hey,हेय,3,3
358,jin,जिन,3,3
359,dan,ड्डां,5,3
360,dum,दुम,3,3
361,haq,हक़,2,3
362,bal,बल,2,3
363,aji,अजी,3,3
364,ugr,उग्र,4,3
365,jie,जीए,3,3
366,bah,बह,2,3
367,sat,सात,3,3
368,kud,ख़ुद,3,3
369,tay,तय,2,3
370,hon,हों,3,3
371,naz,नाज़,3,3
372,jul,जुल,3,3
373,gul,गुल,3,3
374,log,लोग,3,3
375,sar,सर,2,3
376,ayo,आयो,3,3
377,but,बूट,3,3
378,dur,दूर,3,3
379,aja,आजा,3,3
380,and,अन्द,4,3
381,dha,ध,1,3
382,kam,काम,3,3
383,cha,छा,2,3
384,pal,पल,2,3
385,lal,लाल,3,3
386,zid,ज़िद,3,3
387,min,मीन,3,3
388,mud,मुड़,3,3
389,mal,माल,3,3
390,sut,सूट,3,3
391,gad,गाड़,3,3
392,kat,कट,2,3
393,kuk,कूक,3,3
394,akh,अख,2,3
395,mem,मेम,3,3
396,hun,हूँ,3,3
397,vot,वोट,3,3
398,nar,नार,3,3
399,tin,तीन,3,3
400,kal,कल,2,3
401,ane,आने,3,3
402,dar,डर,2,3
403,lag,लग,2,3
404,roe,रोए,3,3
405,tod,तोड़,3,3
406,gya,ग्या,4,3
407,len,लें,3,3
408,lin,लीं,3,3
409,bit,बीत,3,3
410,ugi,उगि,3,3
411,nav,नाव,3,3
412,nir,नीर,3,3
413,yan,याँ,3,3
414,pet,पेट,3,3
415,soe,सोए,3,3
416,moh,मोह,3,3
417,sha,शा,2,3
418,uth,उठ,2,3
419,rab,रब,2,3
420,mir,मीर,3,3
421,avo,आवो,3,3
422,jam,जम,2,3
423,san,सन,2,3
424,lai,लाई,3,3
425,hor,होर,3,3
426,kya,क्या,4,3
427,nan,नन,2,3
428,han,हां,3,3
429,kab,कब,2,3
430,ant,अंत,3,3
431,ruh,रूह,3,3
432,pya,प्या,4,3
433,rit,रित,3,3
434,mas,मस,2,3
435,tan,तान,3,3
436,jae,जाए,3,3
437,sam,सम,2,3
438,nit,नित,3,3
439,sis,सीस,3,3
440,aun,आऊँ,3,3
441,ata,आता,3,3
442,pia,पिआ,3,3
443,laj,लाज,3,3
444,jia,जिआ,3,3
445,ang,अंग,3,3
446,ret,रेत,3,3
447,ayi,आयी,3,3
448,bue,बूए,3,3
449,tis,तीस,3,3
450,dub,डूब,3,3
451,tar,तार,3,3
452,den,दें,3,3
453,use,उसे,3,3
454,tez,तेज़,3,3
455,upe,उपे,3,3
456,ote,ओते,3,3
457,koi,कोई,3,3
458,lao,लाओ,3,3
459,mui,मुई,3,3
460,jao,जाओ,3,3
461,lie,लिए,3,3
462,jis,जिस,3,3
463,jod,जोड़,3,3
464,rok,रोक,3,3
465,lun,लूँ,3,3
466,der,देर,3,3
467,muh,मुह,3,3
468,hoe,होए,3,3
469,tha,था,2,3
470,asl,अस्ल,4,3
471,mar,मर,2,3
472,jag,जग,2,3
473,ami,अमी,3,3
474,gin,गिन,3,3
475,usi,उसी,3,3
476,lab,लब,2,3
477,hoi,होई,3,3
478,sah,सह,2,3
479,iza,ईज़ा,3,3
480,aru,अरु,3,3
481,jor,जोर,3,3
482,bad,बाद,3,3
483,tri,त्रि,4,3
484,ram,राम,3,3
485,git,गीत,3,3
486,jeb,जेब,3,3
487,yad,याद,3,3
488,ati,आती,3,3
489,pad,पड़,2,3
490,yai,यई,2,3
491,hoy,होय,3,3
492,rut,रुत,3,3
493,huk,हूक,3,3
494,mol,मोल,3,3
495,hua,हुआ,3,3
496,kaq,ख़ाक़,3,3
497,ped,पेड़,3,3
498,hai,है,2,3
499,uda,उड़ा,3,3
500,kos,कोस,3,3
501,gao,गाओ,3,3
502,dho,धो,2,3
503,hum,हुम,3,3
504,bazi,बाज़ी,4,4
505,ladu,लड्डू,5,4
506,gusa,गुस्सा,6,4
507,mohe,मोहे,4,4
508,bana,बना,3,4
509,dank,डंक,3,4
510,maro,मारो,4,4
511,pila,पिला,4,4
512,lega,लेगा,4,4
513,rote,रोते,4,4
514,bhai,भाई,3,4
515,hote,होते,4,4
516,bhij,भीज,3,4
517,adat,आदत,3,4
518,mose,मोसे,4,4
519,gali,गली,3,4
520,jise,जिसे,4,4
521,payi,पायी,4,4
522,aegi,आएगी,4,4
523,kahe,काहे,4,4
524,vaha,वाह,3,4
525,gana,गाना,4,4
526,chae,छाए,3,4
527,jite,जीते,4,4
528,hosh,होश,3,4
529,tale,तले,3,4
530,chod,छोड़,3,4
531,saka,सका,3,4
532,janm,जन्म,4,4
533,padi,पड़ी,3,4
534,mare,मारे,4,4
535,bujh,बुझ,3,4
536,lila,लीला,4,4
537,soch,सोच,3,4
538,deva,देवा,4,4
539,layi,लायी,4,4
540,rana,राना,4,4
541,tyon,त्यों,5,4
542,puri,पूरी,4,4
543,kaya,काया,4,4
544,dair,दैर,3,4
545,tark,तर्क,4,4
546,aina,आईना,4,4
547,shal,शल्ल,4,4
548,bapa,बप्पा,5,4
549,kafa,ख़फ़ा,3,4
550,dham,धम,2,4
551,jism,जिस्म,5,4
552,holi,होली,4,4
553,jyon,ज्यों,5,4
554,gunj,गूँज,4,4
555,pala,पला,3,4
556,shiv,शिव,3,4
557,shan,शान,3,4
558,sama,समा,3,4
559,chui,छुई,3,4
560,tole,तोले,4,4
561,yama,यम्मा,5,4
562,dhak,धक,2,4
563,mora,मोरा,4,4
564,aega,आएगा,4,4
565,tara,तारा,4,4
566,thir,थिर्र,5,4
567,zaen,ज़ाएँ,4,4
568,hone,होने,4,4
569,musa,मूसा,4,4
570,qisa,क़िस्सा,6,4
571,gati,गाती,4,4
572,mori,मोरी,4,4
573,asra,आस्रा,5,4
574,ladi,लड़ी,3,4
575,rakh,रख,2,4
576,roye,रोये,4,4
577,khul,खुल,3,4
578,rula,रुला,4,4
579,jago,जागो,4,4
580,dera,डेरा,4,4
581,ruth,रूठ,3,4
582,pine,पीने,4,4
583,saye,साये,4,4
584,jine,जीने,4,4
585,dahi,दही,3,4
586,jati,जाती,4,4
587,khil,खिल,3,4
588,gaye,गये,3,4
589,saki,सकी,3,4
590,akir,आख़िर,4,4
591,beta,बेटा,4,4
592,mane,माने,4,4
593,bari,बारी,4,4
594,khoi,खोई,3,4
595,lutf,लुत्फ़,5,4
596,hans,हँस,3,4
597,hoti,होती,4,4
598,panv,पाँव,4,4
599,phir,फिर,3,4
600,deke,देके,4,4
601,guru,गुरू,4,4
602,vala,वाला,4,4
603,agni,अग्नी,5,4
604,banu,बनू,3,4
605,nain,नैन,3,4
606,maze,मज़े,3,4
607,tera,तेरा,4,4
608,tere,तेरे,4,4
609,kare,करे,3,4
610,sune,सूने,4,4
611,diya,दिया,4,4
612,lagi,लगी,3,4
613,ghar,घर,2,4
614,gayi,गयी,3,4
615,teri,तेरी,4,4
616,hani,हंई,3,4
617,dhun,धुन,3,4
618,dasi,दासी,4,4
619,jana,जाना,4,4
620,yahi,यही,3,4
621,pyar,प्यार,5,4
622,chit,चित्त,5,4
623,mere,मेरे,4,4
624,sahe,सहे,3,4
625,gaen,गाएं,4,4
626,kyon,क्यों,5,4
627,aisa,ऐसा,3,4
628,guth,गुथ,3,4
629,siri,सिरी,4,4
630,ansu,आँसू,4,4
631,diye,दिये,4,4
632,liye,लिये,4,4
633,mani,मानी,4,4
634,kalq,ख़ल्क़,4,4
635,jama,जमा,3,4
636,pali,पली,3,4
637,kubi,ख़ूबी,4,4
638,lage,लागे,4,4
639,sone,सोने,4,4
640,bazm,बज़्म,4,4
641,duje,दूजे,4,4
642,haya,हया,3,4
643,kiye,किये,4,4
644,wali,वालि,4,4
645,thin,थीं,3,4
646,dila,दिला,4,4
647,bach,बच,2,4
648,bhag,भाग,3,4
649,soye,सोये,4,4
650,mukh,मुख,3,4
651,bhid,भीड़,3,4
652,raha,रहा,3,4
653,toke,टोके,4,4
654,muft,मुफ़्त,5,4
655,mile,मिले,4,4
656,dosh,दोष,3,4
657,ajab,अजब,3,4
658,sham,शाम,3,4
659,daba,दबा,3,4
660,javo,जावो,4,4
661,sara,सारा,4,4
662,pesh,पेश,3,4
663,lake,लाके,4,4
664,khao,खाओ,3,4
665,nrip,नृप,3,4
666,rach,रच,2,4
667,vasl,वस्ल,4,4
668,milo,मिलो,4,4
669,ruke,रुके,4,4
670,sang,सँग,3,4
671,dafn,दफ़्न,4,4
672,kide,किद्दे,6,4
673,jhar,झर,2,4
674,jadu,जादू,4,4
675,tatu,टट्टू,5,4
676,husn,हुस्न,5,4
677,vash,वश,2,4
678,shap,शाप,3,4
679,ulas,उल्लास,6,4
680,gard,गर्द,4,4
681,taka,ताका,4,4
682,keke,केके,4,4
683,fida,फ़िदा,4,4
684,ayin,आयीँ,4,4
685,laen,लाएं,4,4
686,khak,खाक,3,4
687,pihu,पीहू,4,4
688,taki,तकि,3,4
689,dard,दर्द,4,4
690,dubi,डूबी,4,4
691,avat,आवत,3,4
692,piya,पिया,4,4
693,bolo,बोलो,4,4
694,kisi,किसी,4,4
695,pada,पड़ा,3,4
696,laga,लगा,3,4
697,kala,काला,4,4
698,asan,आसान,4,4
699,rani,रानी,4,4
700,pake,पके,3,4
701,chal,चल,2,4
702,khel,खेल,3,4
703,raji,राजी,4,4
704,bula,बुला,4,4
705,kaji,काजी,4,4
706,char,चार,3,4
707,dhan,धान,3,4
708,latu,लट्टू,5,4
709,qabu,क़ाबू,4,4
710,jani,जानी,4,4
711,puch,पूछ,3,4
712,gore,गोरे,4,4
713,sari,सारी,4,4
714,mang,मांग,4,4
715,agar,अगर,3,4
716,mast,मस्त,4,4
717,roya,रोया,4,4
718,sath,साथ,3,4
719,hase,हस्से,5,4
720,kudi,कुड़ी,4,4
721,chin,छीन,3,4
722,liya,लिया,4,4
723,tune,तूने,4,4
724,haye,हाये,4,4
725,meri,मेरी,4,4
726,rone,रोने,4,4
727,dene,देने,4,4
728,ishq,इश्क़,4,4
729,paun,पाऊँ,4,4
730,jaun,जाऊँ,4,4
731,akar,आकर,3,4
732,ajan,अजान,4,4
733,ahen,आहें,4,4
734,dono,दोनो,4,4
735,zara,ज़रा,3,4
736,hath,हाथ,3,4
737,alah,अल्लह,5,4
738,rona,रोना,4,4
739,tora,तोरा,4,4
740,astr,अस्त्र,6,4
741,past,पस्त,4,4
742,awaz,आवाज़,4,4
743,maun,मौन,3,4
744,ansh,अंश,3,4
745,jali,जली,3,4
746,roke,रोके,4,4
747,rahi,रही,3,4
748,tota,तोता,4,4
749,jaen,जाएं,4,4
750,path,पाठ,3,4
751,isak,इसक,3,4
752,bute,बूटे,4,4
753,kada,कड़ा,3,4
754,logi,लोगी,4,4
755,tote,तोते,4,4
756,bech,बेच,3,4
757,paka,पक्का,5,4
758,saji,सजी,3,4
759,sneh,स्नेह,5,4
760,rogi,रोगी,4,4
761,kanp,काँप,4,4
762,neha,नेहा,4,4
763,send,सेन्द,5,4
764,aded,अद्देद,6,4
765,fani,फ़ानी,4,4
766,ghat,घात,3,4
767,sign,सिग्न,5,4
768,tima,टिमा,4,4
769,tied,तिएद,4,4
770,hato,हटो,3,4
771,misi,मिस्सी,6,4
772,kidh,किढ़,3,4
773,phod,फोड़,3,4
774,dhay,धाय,3,4
775,dhig,धिग,3,4
776,salt,अल्त,4,4
777,jara,जरा,3,4
778,phur,फुर,3,4
779,maja,मजा,3,4
780,ghus,घुस,3,4
781,mini,मिनी,4,4
782,tore,तोरे,4,4
783,bano,बन्नो,5,4
784,bivi,बीवी,4,4
785,bhae,भाए,3,4
786,varo,वारो,4,4
787,giri,गीरी,4,4
788,avan,आवन,3,4
789,kurb,कुर्ब,5,4
790,batu,बट्टू,5,4
791,ilaj,इलाज,4,4
792,jafa,जफ़ा,3,4
793,stri,स्त्री,6,4
794,bote,बोते,4,4
795,saha,सहा,3,4
796,thos,ठोस,3,4
797,sade,साड्डे,6,4
798,tala,टाला,4,4
799,hule,हुल्ले,6,4
800,hula,हुल्ला,6,4
801,kora,कोरा,4,4
802,bure,बुरे,4,4
803,apun,अपुन,4,4
804,tari,तारी,4,4
805,dede,देदे,4,4
806,jute,जूते,4,4
807,ones,ओनेस,4,4
808,adib,अदीब,4,4
809,dubo,डुबो,4,4
810,vida,विदा,4,4
811,atif,आतिफ,4,4
812,daam,दाम,3,4
813,bate,बटे,3,4
814,tose,तोसे,4,4
815,sena,सेना,4,4
816,asif,आसिफ,4,4
817,maha,महा,3,4
818,urdu,उर्दू,5,4
819,khoj,खोंज,4,4
820,dohe,दोहे,4,4
821,haar,हार,3,4
822,walo,वालो,4,4
823,rukh,रुख,3,4
824,maar,मार,3,4
825,haan,हाँ,3,4
826,awan,आवाँ,4,4
827,muti,मूटी,4,4
828,khas,खास,3,4
829,dont,डोंट,4,4
830,yuhi,युही,4,4
831,piyo,पियो,4,4
832,gham,घम,2,4
833,wake,वेक,3,4
834,saif,सैफ,3,4
835,rahu,रहू,3,4
836,zind,ज़िंद,5,4
837,jaan,जान,3,4
838,raah,राह,3,4
839,goli,गोली,4,4
840,hasi,हसी,3,4
841,love,लव,2,4
842,baba,बाबा,4,4
843,tiki,टिकी,4,4
844,chua,छुआ,3,4
845,gaun,गाऊँ,4,4
846,chue,छुए,3,4
847,ping,पींग,4,4
848,pher,फेर,3,4
849,gile,गिले,4,4
850,guse,ग़ुस्से,6,4
851,udud,उड़उड़,4,4
852,biti,बीती,4,4
853,also,आल्सो,5,4
854,duji,दूजी,4,4
855,jode,जोड़े,4,4
856,taza,ताज़ा,4,4
857,mein,मेइं,4,4
858,kadh,काढ़,3,4
859,kabu,काबू,4,4
860,seva,सेवा,4,4
861,used,उसेद,4,4
862,lafz,लफ़्ज़,4,4
863,riti,रिती,4,4
864,masi,मासी,4,4
865,hoto,होटो,4,4
866,life,लाइफ,4,4
867,paar,पार,3,4
868,leta,लेता,4,4
869,take,टके,3,4
870,rota,रोता,4,4
871,rela,रेला,4,4
872,bita,बिता,4,4
873,khat,खत,2,4
874,zina,ज़िन्ना,6,4
875,akad,अकड़,3,4
876,gori,गोरी,4,4
877,dhil,ढील,3,4
878,upar,ऊपर,3,4
879,dhar,धर,2,4
880,khoe,खोए,3,4
881,nale,नाले,4,4
882,much,मुच,3,4
883,chap,चाप,3,4
884,kana,ख़ाना,4,4
885,pate,पाते,4,4
886,ghut,घुट,3,4
887,dolo,डोलो,4,4
888,dije,दीजे,4,4
889,mund,मूंद,4,4
890,karo,करो,3,4
891,mata,माता,4,4
892,bina,बिना,4,4
893,aisi,ऐसी,3,4
894,roin,रोईं,4,4
895,mera,मेरा,4,4
896,vali,वाली,4,4
897,ruko,रुको,4,4
898,saza,सज़ा,3,4
899,bela,बेला,4,4
900,kata,कटा,3,4
901,sada,सदा,3,4
902,dani,दानी,4,4
903,pani,पानी,4,4
904,neki,नेकी,4,4
905,sine,सीने,4,4
906,uthe,उठे,3,4
907,iznu,इज़्नु,5,4
908,munh,मुँह,4,4
909,peng,पेंग,4,4
910,ulti,उल्टी,5,4
911,duri,दूरी,4,4
912,sata,सता,3,4
913,jhan,झन,2,4
914,piri,पीरी,4,4
915,mela,मेला,4,4
916,yani,यानी,4,4
917,aram,आराम,4,4
918,data,दाता,4,4
919,zafa,ज़फ़ा,3,4
920,jind,जिंद,4,4
921,bhes,भेस,3,4
922,dakl,दख़्ल,4,4
923,rang,रंग,3,4
924,chuo,छुओ,3,4
925,raje,रज्जे,5,4
926,odhe,ओढ़े,3,4
927,jina,जीना,4,4
928,kani,कन्नी,5,4
929,bali,बाली,4,4
930,umar,उमर,3,4
931,kali,काली,4,4
932,sanu,सानू,4,4
933,dina,दीना,4,4
934,ritu,रितु,4,4
935,taul,तौल,3,4
936,sudh,सुध,3,4
937,nath,नाथ,3,4
938,japa,जपा,3,4
939,bazu,बाज़ू,4,4
940,auna,औना,3,4
941,minh,मींह,4,4
942,paen,पाएँ,4,4
943,usha,उशा,3,4
944,saba,सबा,3,4
945,kita,कीता,4,4
946,uton,उत्तों,6,4
947,vake,वाके,4,4
948,jasa,जस,2,4
949,koti,कोटी,4,4
950,kohu,कोहू,4,4
951,jodo,जोड़ो,4,4
952,roko,रोको,4,4
953,kokh,कोख,3,4
954,banh,बांह,4,4
955,sava,सवा,3,4
956,dhae,ढाए,3,4
957,zakm,ज़ख़्म,4,4
958,beti,बेटी,4,4
959,tini,तिनी,4,4
960,gayo,गायो,4,4
961,boye,बोये,4,4
962,nara,नारा,4,4
963,payo,पायो,4,4
964,jurm,जुर्म,5,4
965,bili,बिल्ली,6,4
966,alka,अल्का,5,4
967,sher,शेर,3,4
968,inhi,इन्ही,5,4
969,soun,सोऊं,4,4
970,khal,खाल,3,4
971,pina,पीना,4,4
972,pite,पीते,4,4
973,sako,सको,3,4
974,paji,पाजी,4,4
975,laun,लाऊँ,4,4
976,bhor,भोर,3,4
977,maru,मारू,4,4
978,reti,रेती,4,4
979,soni,सोणी,4,4
980,roni,रोनी,4,4
981,lini,लीनी,4,4
982,amar,अमर,3,4
983,yehi,येही,4,4
984,mazi,माज़ी,4,4
985,saqi,साक़ी,4,4
986,hure,हुर्रे,6,4
987,rite,रीते,4,4
988,tank,टाँक,4,4
989,julm,जुल्म,5,4
990,ajib,अजीब,4,4
991,roen,रोएँ,4,4
992,hisa,हिस्सा,6,4
993,josh,जोश,3,4
994,bade,बड़े,3,4
995,gain,गईं,3,4
996,dama,दमा,3,4
997,daya,दया,3,4
998,ghir,घिर,3,4
999,hari,हारी,4,4
1000,xaya,क्षय,4,4
1001,judi,जुड़ी,4,4
1002,saje,सज्जे,5,4
1003,thak,थक,2,4
1004,amit,अमिट,4,4
1005,nava,नव,2,4
1006,daur,दौर,3,4
1007,chik,चिक,3,4
1008,keta,केट,3,4
1009,ranj,रंज,3,4
1010,kush,ख़ुश,3,4
1011,yaro,यारो,4,4
1012,umid,उम्मीद,6,4
1013,jata,जाता,4,4
1014,maut,मौत,3,4
1015,huye,हुये,4,4
1016,mude,मुड़े,4,4
1017,mele,मेले,4,4
1018,itab,इताब,4,4
1019,sona,सोणा,4,4
1020,jang,जंग,3,4
1021,mari,मारी,4,4
1022,hare,हारे,4,4
1023,buri,बुरी,4,4
1024,ghum,घूम,3,4
1025,lati,लाती,4,4
1026,khan,खन,2,4
1027,kwab,ख़्वाब,5,4
1028,shab,शब,2,4
1029,gate,गाते,4,4
1030,lado,लाडो,4,4
1031,lahu,लहू,3,4
1032,sikh,सीख,3,4
1033,lata,लता,3,4
1034,axay,अक्षय,5,4
1035,drig,दृग,3,4
1036,bite,बीते,4,4
1037,raja,राजा,4,4
1038,tori,तोरी२,5,4
1039,jale,जले,3,4
1040,jage,जागे,4,4
1041,uthi,उठी,3,4
1042,jodi,जोड़ी,4,4
1043,kyal,ख़्याल,5,4
1044,mati,माटी,4,4
