,hi-en,hi,len-hi,len-hi-en
448,tum,तुम,3,3
449,had,हद,2,3
450,gal,गाल,3,3
451,kisa,किस्सा,6,4
452,nata,नाता,4,4
453,zulm,ज़ुल्म,5,4
454,leke,लेके,4,4
455,maje,मज्जे,5,4
456,asis,आसीस,4,4
457,cham,छम,2,4
458,degi,देगी,4,4
459,tair,तैर,3,4
460,prit,प्रीत,5,4
462,udas,उदास,4,4
464,nami,नमी,3,4
465,hata,हटा,3,4
466,drum,द्रुम,5,4
467,jiti,जीती,4,4
468,jori,जोरी,4,4
469,dipa,दीपा,4,4
470,sati,सत्ती,5,4
471,nadi,नदी,3,4
472,papi,पापी,4,4
473,alam,आलम,3,4
474,bata,बता२,4,4
475,kash,काश,3,4
476,kori,कोरी,4,4
477,vara,वारा,4,4
478,gaje,गज्जे,5,4
479,jora,जोरा,4,4
480,dhoe,धोए,3,4
481,naya,नया,3,4
482,vari,वारी,4,4
483,gavo,गावो,4,4
484,laya,लाया,4,4
485,bahe,बहे,3,4
486,luti,लूटी,4,4
487,likh,लिख,3,4
488,iran,इरान,4,4
489,baji,बजी,3,4
490,bhav,भाव,3,4
491,sukh,सुख,3,4
492,dvar,द्वार,5,4
493,toda,तोड़ा,4,4
494,nibh,निभ,3,4
495,yari,यारी,4,4
496,bane,बने,3,4
497,chor,चोर,3,4
498,goya,गोया,4,4
499,tujh,तुझ,3,4
500,tuta,टूटा,4,4
501,suni,सूनी,4,4
502,dhup,धूप,3,4
503,ghul,घुल,3,4
504,pasa,पासा,4,4
505,lana,लाना,4,4
506,godi,गोदी,4,4
507,kaun,कौन,3,4
508,bani,बनी,3,4
509,nabh,नभ,2,4
510,desh,देश,3,4
511,main,मैं,3,4
512,tuti,टूटी,4,4
514,baqi,बाक़ी,4,4
515,fiza,फ़िज़ा,4,4
516,putr,पुत्र,5,4
517,suli,सूली,4,4
518,arsh,अर्श,4,4
519,vafa,वफ़ा,3,4
520,naye,नये,3,4
521,iman,ईमान,4,4
522,toli,टोली,4,4
523,apas,आपस,3,4
524,wale,वाले,4,4
525,pita,पिता,4,4
526,anad,आनद,3,4
527,kuen,कुएं,4,4
528,bich,बीच,3,4
529,dhat,धत,2,4
530,lala,लाला,4,4
531,dhol,ढोल,3,4
532,more,मोरे,4,4
533,bida,बिदा,4,4
534,mail,मैल,3,4
535,bojh,बोझ,3,4
536,thes,ठेस,3,4
537,maya,माया,4,4
538,tare,तारे,4,4
540,sirf,सिर्फ़,5,4
541,dhim,धीम,3,4
542,roro,रोरो,4,4
543,dana,दाना,4,4
544,khet,खेत,3,4
545,kate,कटे,3,4
546,nile,नीले,4,4
547,kahi,कही,3,4
548,laut,लौट,3,4
549,mara,मारा,4,4
550,najo,नाजो,4,4
551,kari,करी,3,4
552,mahi,माही,4,4
553,joda,जोड़ा,4,4
554,rove,रोवे,4,4
555,vaje,वज्जे,5,4
556,chai,छाई,3,4
557,sina,सीना,4,4
559,mota,मोटा,4,4
560,saun,सौं,3,4
561,asar,असर,3,4
562,dhir,धीर,3,4
563,kine,किन्ने,6,4
564,vahi,वही,3,4
565,aine,आईने,4,4
566,pyas,प्यास,5,4
567,qazi,क़ाज़ी,4,4
568,razi,राज़ी,4,4
569,yara,यारा,4,4
570,paya,पाया,4,4
571,wade,वादे,4,4
572,utar,उतर,3,4
573,doli,डोली,4,4
574,othe,ओत्थे,5,4
575,ghor,घोर,3,4
576,lute,लुटे,4,4
577,pale,पले,3,4
578,dhul,धूल,3,4
579,chur,चूर,3,4
580,vekh,वेख,3,4
581,sonu,सोनू,4,4
582,siwa,सिवा,4,4
583,svar,स्वर,4,4
584,mala,मल,2,4
585,deti,देती,4,4
586,shor,शोर,3,4
587,dane,दाने,4,4
588,juhi,जुही,4,4
589,wadi,वादी,4,4
590,jiyo,जियो,4,4
591,tama,तम,2,4
592,hizr,हिज़्र,5,4
593,lele,लेले,4,4
595,sabr,सब्र,4,4
596,sake,सके,3,4
597,nana,नन,2,4
598,jhel,झेल,3,4
599,lahu,लहू,3,4
600,sikh,सीख,3,4
601,lata,लता,3,4
602,axay,अक्षय,5,4
603,drig,दृग,3,4
604,ganv,गाँव,4,4
605,bite,बीते,4,4
606,raja,राजा,4,4
607,tori,तोरी२,5,4
608,jale,जले,3,4
609,jage,जागे,4,4
610,uthi,उठी,3,4
611,jodi,जोड़ी,4,4
612,kyal,ख़्याल,5,4
613,mati,माटी,4,4
614,dale,डाले,4,4
615,aish,ऐश,2,4
616,aire,ऐरे,3,4
617,asim,असीम,4,4
618,deta,देता,4,4
619,dukh,दुख,3,4
620,dere,देरे,4,4
621,thai,थई,2,4
622,bara,बारा,4,4
623,sapt,सप्त,4,4
624,gale,गले,3,4
625,mila,मिला,4,4
626,bain,बैन,3,4
627,kone,कोने,4,4
628,gram,ग्राम,5,4
629,pari,परी,3,4
630,tani,तानी,4,4
631,lado,लाडो,4,4
632,kete,केटे,4,4
633,gate,गाते,4,4
634,sona,सोणा,4,4
635,dama,दमा,3,4
636,daya,दया,3,4
637,ghir,घिर,3,4
638,hari,हारी,4,4
639,xaya,क्षय,4,4
640,judi,जुड़ी,4,4
641,saje,सज्जे,5,4
642,thak,थक,2,4
643,amit,अमिट,4,4
644,nava,नव,2,4
645,daur,दौर,3,4
646,chik,चिक,3,4
647,wafa,वफ़ा,3,4
648,keta,केट,3,4
649,ranj,रंज,3,4
650,kush,ख़ुश,3,4
651,yaro,यारो,4,4
652,umid,उम्मीद,6,4
653,khan,खन,2,4
654,lati,लाती,4,4
655,ghum,घूम,3,4
656,buri,बुरी,4,4
657,hare,हारे,4,4
658,mari,मारी,4,4
659,kwab,ख़्वाब,5,4
660,jang,जंग,3,4
661,itab,इताब,4,4
662,mele,मेले,4,4
663,mude,मुड़े,4,4
664,huye,हुये,4,4
665,maut,मौत,3,4
666,jata,जाता,4,4
668,shab,शब,2,4
669,dhik,धिक,3,4
670,jhuk,झुक,3,4
671,gami,ग़मी,3,4
672,tika,टीका,4,4
673,baki,बाकी,4,4
674,dili,दिल्ली,6,4
675,mili,मिल्ली,6,4
676,jhil,झील,3,4
677,duba,डूबा,4,4
678,dola,डोला,4,4
680,maza,मज़ा,3,4
681,tang,तंग,3,4
682,akal,अकल,3,4
683,gala,गला,3,4
684,dega,देगा,4,4
685,toba,तोबा,4,4
686,garm,गर्म,4,4
687,gair,ग़ैर,3,4
688,rafi,ऱफ़ि,3,4
689,dudh,दूध,3,4
690,chan,छान,3,4
691,hove,होवे,4,4
692,yada,यदा,3,4
693,sima,सीमा,4,4
694,gyan,ज्ञान,5,4
695,pida,पीड़ा,4,4
696,tane,ताने,4,4
697,azad,आज़ाद,4,4
698,atma,आत्मा,5,4
699,mauj,मौज,3,4
700,gita,गीता,4,4
701,shaq,शक़,2,4
702,hota,होता,4,4
703,beda,बेड़ा,4,4
704,abad,आबाद,4,4
705,nari,नारी,4,4
706,wohi,वोही,4,4
707,chah,चाह,3,4
708,khub,खूब,3,4
709,pair,पैर,3,4
710,karm,कर्म,4,4
711,jogi,जोगी,4,4
712,kore,कोरे,4,4
713,chab,छब,2,4
714,atal,अटल,3,4
715,pana,पाना,4,4
716,waqt,वक़्त,4,4
717,asha,आशा,3,4
718,shay,शय,2,4
719,zikr,ज़िक्र,5,4
720,dava,दवा,3,4
721,dikh,दिख,3,4
722,baha,बहा,3,4
723,pure,पूरे,4,4
724,puje,पूजे,4,4
725,wahi,वही,3,4
726,saja,सजा,3,4
727,leti,लेती,4,4
728,hona,होना,4,4
729,aoge,आओगे,4,4
730,kans,कंस,3,4
731,ankh,आँख,3,4
732,zidi,ज़िद्दी,6,4
733,hogi,होगी,4,4
734,tohe,तोहे,4,4
735,sare,सारे,4,4
736,jako,जाको,4,4
737,puja,पूजा,4,4
738,bola,बोला,4,4
739,honi,होनी,4,4
740,sans,साँस,4,4
741,tham,थम,2,4
742,zauq,ज़ौक़,3,4
744,hoga,होगा,4,4
746,shak,शाख़,3,4
747,duja,दूजा,4,4
748,rava,रवा,3,4
749,jake,जाके,4,4
750,pata,पता,3,4
751,ahon,आहों,4,4
752,gaur,गौर,3,4
753,chut,छूट,3,4
754,jhul,झूल,3,4
755,hale,हल्ले,5,4
756,kuda,ख़ुदा,4,4
757,bale,बल्ले,5,4
758,tode,तोड़े,4,4
759,rara,रारा,4,4
760,tina,तिना,4,4
761,chad,छड्ड,4,4
762,khol,खोल,3,4
763,phut,फूट,3,4
764,chum,चूम,3,4
765,saya,साया,4,4
766,mano,मानो,4,4
767,lali,लाली,4,4
768,puna,पूना,4,4
769,siti,सीटी,4,4
770,lene,लेने,4,4
771,pike,पीके,4,4
772,basa,बसा,3,4
773,dhin,धिन,3,4
774,udae,उड़ाए,4,4
775,nahi,नही,3,4
776,moch,मोच,3,4
777,dedh,डेढ़,3,4
778,kair,ख़ैर,3,4
779,lina,लीना,4,4
780,kunj,कूँज,4,4
781,vich,विच,3,4
782,dhal,ढल,2,4
783,vohi,वोही,4,4
784,rakt,रक्त,4,4
785,unhi,उन्ही,5,4
786,bakt,बख़्त,4,4
787,jita,जीता,4,4
788,rudr,रुद्र,5,4
789,azab,अज़ाब,4,4
790,sove,सोवे,4,4
791,kite,किते,4,4
792,mira,मीर,3,4
793,kvab,ख़्वाब,5,4
794,bala,बला,3,4
795,khun,खून,3,4
796,dori,डोरी,4,4
797,jiye,जिये,4,4
798,dant,दाँत,4,4
799,nach,नाच,3,4
800,tute,टूटे,4,4
801,kyun,क्यूँ,5,4
802,layo,लायो,4,4
803,todi,तोड़ी,4,4
804,utho,उठो,3,4
805,huin,हुईं,4,4
806,hoke,होके,4,4
807,atak,अटक,3,4
808,qaid,क़ैद,3,4
809,ched,छेड़,3,4
810,suku,सूकू,4,4
811,bhar,भर,2,4
812,hawa,हवा,3,4
813,ujad,उजड़,3,4
814,suno,सुनो,4,4
815,ashq,अश्क़,4,4
816,abhi,अभी,3,4
817,gila,गिला,4,4
818,dube,डूबे,4,4
819,kamo,कम्मो,5,4
820,shok,शोख़,3,4
821,badi,बड़ी,3,4
822,lena,लेना,4,4
823,gend,गेंद,4,4
824,zulf,ज़ुल्फ़,5,4
825,bete,बेटे,4,4
826,daud,दौड़,3,4
827,dena,देना,4,4
828,kale,काले,4,4
829,baut,बौत,3,4
830,devi,देवी,4,4
831,dara,डरा,3,4
832,lori,लोरी,4,4
833,soja,सोजा,4,4
834,alap,आलाप,4,4
835,pane,पाने,4,4
836,phal,फल,2,4
837,rida,रिदा,4,4
838,ghan,घन,2,4
839,legi,लेगी,4,4
840,dher,ढेर,3,4
841,shah,शाह,3,4
842,niti,नीति,4,4
843,hind,हिंद,4,4
844,shul,शूल,3,4
845,bhoj,भोज,3,4
846,dala,डाला,4,4
847,teli,तेली,4,4
848,mujh,मुझ,3,4
849,juda,जुदा,4,4
850,vade,वादे,4,4
851,raho,रहो,3,4
852,prem,रेम,3,4
853,soen,सोएं,4,4
854,chot,चोट,3,4
855,pase,पासे,4,4
856,shai,शै,2,4
857,jude,जूड़े,4,4
858,nyay,न्याय,5,4
859,sita,सीता,4,4
860,pile,पीले,4,4
861,pati,पति,3,4
862,sind,सिंद,4,4
863,jala,जला,3,4
864,dada,डड्डा,5,4
865,pira,पीरा,4,4
866,mard,मर्द,4,4
867,abas,अबस,3,4
868,saxi,साक्षी,6,4
869,yuge,युगे,4,4
870,saty,सत्य,4,4
871,gaya,गया,3,4
872,ulat,उलट,3,4
873,nind,नींद,4,4
874,gesu,गेसू,4,4
875,gane,गाने,4,4
876,rain,रैन,3,4
877,base,बसे,3,4
878,agan,अगन,3,4
879,basi,बसी,3,4
880,tana,तन,2,4
881,sala,साला,4,4
882,bapu,बापू,4,4
883,jave,जावे,4,4
884,pave,पावे,4,4
885,pura,पूरा,4,4
886,gora,गोरा,4,4
887,dete,देते,4,4
888,dogi,दोगी,4,4
889,piye,पिये,4,4
890,danv,दांव,4,4
891,kude,कूदे,4,4
892,male,मले,3,4
893,kava,कव्व,4,4
894,loge,लोगे,4,4
895,raba,रब्बा,5,4
896,qatl,क़त्ल,4,4
897,jano,जानो,4,4
898,katm,ख़त्म,4,4
899,mulk,मुल्क,5,4
900,bhal,भाल,3,4
901,kise,किसे,4,4
902,lete,लेते,4,4
903,ajil,अजील,4,4
904,bund,बूँद,4,4
905,suna,सुना,4,4
906,khae,खाए,3,4
907,jhum,झूम,3,4
908,mali,माली,4,4
909,thik,ठीक,3,4
910,sahi,सही,3,4
911,bura,बुरा,4,4
912,gadi,गाड़ी,4,4
913,bike,बिके,4,4
914,anon,आनों,4,4
915,mama,मामा,4,4
916,mami,मामी,4,4
917,babu,बाबू,4,4
918,baju,बाजू,4,4
919,luta,लुटा,4,4
920,badh,बढ़,2,4
921,rahe,रहे,3,4
922,khud,खुद,3,4
923,chiz,चीज़,3,4
924,izat,इज़्ज़त,5,4
925,wada,वादा,4,4
926,jaya,जय,2,4
927,jada,जड़ा,3,4
928,paye,पाये,4,4
929,phul,फूल,3,4
930,moti,मोती,4,4
931,punr,पूणर्,5,4
932,jate,जाते,4,4
933,dhum,धूम,3,4
934,pade,पड़े,3,4
935,gata,गाता,4,4
936,lakh,लाख,3,4
937,band,बंद,3,4
938,jade,जड़े,3,4
939,baja,बजा,3,4
940,yudh,युद्ध,5,4
941,beri,बेरी,4,4
942,dekh,देख,3,4
943,anch,आँच,3,4
944,dare,डारे,4,4
945,dole,डोले,4,4
946,ghon,घों,3,4
947,bole,बोले,4,4
948,chun,चूँ,3,4
949,hain,हैं,3,4
950,kanv,कण्व,4,4
951,suta,सुता,4,4
952,priy,प्रिय,5,4
953,roti,रोटी,4,4
954,purn,पूर्ण,5,4
955,ahat,आहट,3,4
956,boli,बोली,4,4
957,sach,सच,2,4
958,naha,नहा,3,4
959,desi,देसी,4,4
960,hiro,हीरो,4,4
961,lasi,लस्सी,5,4
962,kuch,कुछ,3,4
963,jyot,ज्योत,5,4
964,aogi,आओगी,4,4
965,jacn,जाॅन,4,4
966,dali,डाली,4,4
967,sadi,साड़ी,4,4
968,tino,तीनो,4,4
969,utha,उठा,3,4
970,lash,लाश,3,4
971,mune,मुन्ने,6,4
972,ghur,घूर,3,4
973,rasi,रस्सी,5,4
974,todo,तोड़ो,4,4
975,bhul,भूल,3,4
976,ahun,आहूँ,4,4
977,uhun,उहूँ,4,4
978,khaq,खाक़,3,4
979,bhay,भय,2,4
980,seth,सेठ,3,4
981,kije,कीजे,4,4
982,baje,बजे,3,4
983,soya,सोया,4,4
984,jaga,जगा,3,4
985,bati,बाती,4,4
986,chir,चीर,3,4
987,chak,चक,2,4
988,dalo,डालो,4,4
989,ruka,रुका,4,4
990,daro,डरो,3,4
991,ayen,आयें,4,4
992,kaha,कहा,3,4
993,mana,माना,4,4
994,sinp,सींप,4,4
995,kaho,कहो,3,4
996,khai,खाई,3,4
997,juta,जूता,4,4
998,kauf,ख़ौफ़,3,4
999,kati,कटी,3,4
1000,kara,करा,3,4
1001,gola,गोला,4,4
1002,tola,टोला,4,4
1003,aise,ऐसे,3,4
1004,nayo,नयो,3,4
1005,kuta,कुत्ता,6,4
1006,udan,उड़न,3,4
1007,nayi,नयी,3,4
1008,jagi,जगी,3,4
1009,chup,चुप,3,4
1011,lada,लड़ा,3,4
1012,alag,अलग,3,4
1014,mina,मीना,4,4
1015,pran,प्राण,5,4
1016,ramu,रामू,4,4
1017,mita,मिटा,4,4
1018,miti,मिट्टी,6,4
1019,wasi,वासी,4,4
1020,kiya,किया,4,4
1021,kami,कमी,3,4
1022,jiya,जिया,4,4
1023,bhed,भेद,3,4
1024,jaye,जाये,4,4
1025,jane,जाने,4,4
1026,hire,हीरे,4,4
1027,pili,पीली,4,4
1028,laye,लाये,4,4
1029,bada,बड़ा,3,4
1030,aman,अमां,4,4
1031,svad,स्वाद,5,4
1032,gain,गईं,3,4
1033,bare,बारे,4,4
1034,josh,जोश,3,4
1035,jode,जोड़े,4,4
1036,mukh,मुख,3,4
1037,soye,सोये,4,4
1038,bhag,भाग,3,4
1039,bach,बच,2,4
1040,dila,दिला,4,4
1041,raha,रहा,3,4
1042,thin,थीं,3,4
1043,kiye,किये,4,4
1044,haya,हया,3,4
1045,duje,दूजे,4,4
1046,bazm,बज़्म,4,4
1047,sone,सोने,4,4
1048,lage,लागे,4,4
1049,wali,वालि,4,4
1050,toke,टोके,4,4
1051,muft,मुफ़्त,5,4
1052,mile,मिले,4,4
1053,sang,सँग,3,4
1054,ruke,रुके,4,4
1055,milo,मिलो,4,4
1056,vasl,वस्ल,4,4
1057,rach,रच,2,4
1058,nrip,नृप,3,4
1059,khao,खाओ,3,4
1060,lake,लाके,4,4
1061,pesh,पेश,3,4
1062,sara,सारा,4,4
1063,javo,जावो,4,4
1064,daba,दबा,3,4
1065,sham,शाम,3,4
1066,ajab,अजब,3,4
1067,dosh,दोष,3,4
1068,kubi,ख़ूबी,4,4
