,hashtag,word_segment,Segmented_Sent
73,#2020election,"{'2020', 'Qtek', 'election'}",2020 Qtek election
74,#rmspa,"{'spa', 'rm'}",spa rm
75,#pmoindia,"{'pmo', 'india'}",pmo india
76,#uk,{'uk'},uk
77,#exynos1080,{'exynos1080'},exynos1080
78,#forecast,{'forecast'},forecast
79,#kidneyhealth,"{'kidney', 'health'}",kidney health
80,#cjisa,"{'is', 'cj', 'a'}",is cj a
81,#venetoclax,"{'c', 'veneto', 'lax'}",c veneto lax
82,#sarscov2,{'sarscov2'},sarscov2
83,#wekimeki,"{'kim', 'we', 'eki'}",kim we eki
84,#live,{'live'},live
85,#homeloans,"{'loans', 'home'}",loans home
86,#blockchain,"{'chain', 'block'}",chain block
87,#defundthent,"{'the', 'nt', 'defund'}",the nt defund
88,#sevensensetech,"{'seven', 'sense', 'tech'}",seven sense tech
89,#rajasthan,{'rajasthan'},rajasthan
90,#highriskca,"{'high', 'risk', 'ca'}",high risk ca
91,#aktuonlineexam,"{'a', 'ktu', 'online', 'exam'}",a ktu online exam
92,#cafc,{'cafc'},cafc
93,#bidkinurban,"{'kin', 'bid', 'urban'}",kin bid urban
94,#banloanapp,"{'loanapp', 'ban'}",loanapp ban
95,#ces2021,{'ces2021'},ces2021
96,#ourhearts,"{'hearts', 'our'}",hearts our
97,#honorv40,"{'v40', 'honor'}",v40 honor
98,#dataprivacyday,"{'day', 'data', 'privacy'}",day data privacy
99,#nifty50,{'nifty50'},nifty50
100,#amazon,{'amazon'},amazon
101,#iqoo3,"{'iqoo3', 'iqoo'}",iqoo3 iqoo
102,#ydeprojectke,"{'project', 'y', 'ke', 'de'}",project y ke de
103,#anissabrown,"{'anissa', 'brown'}",anissa brown
104,#farmlaws,"{'farm', 'laws'}",farm laws
105,#endourcladdingscandal,"{'end', 'cladding', 'our', 'scandal'}",end cladding our scandal
106,#robinhoodapp,"{'robinhood', 'app', 'obi'}",robinhood app obi
107,#codeblue,"{'code', 'blue'}",code blue
108,#loanmoratorium,"{'moratorium', 'loan'}",moratorium loan
109,#rufc,{'rufc'},rufc
110,#lepow,"{'pow', 'le'}",pow le
111,#garppodcasts,"{'garp', 'podcasts'}",garp podcasts
112,#ganga,{'ganga'},ganga
113,#whereisuefa,"{'is', 'uefa', 'where'}",is uefa where
114,#cfc,{'cfc'},cfc
115,#efc,{'efc'},efc
116,#content#,{'content'},content
117,#ran,{'ran'},ran
118,#modigovt,"{'modi', 'govt'}",modi govt
119,#grsm,"{'gr', 'sm'}",gr sm
120,#yasholabhasva,"{'va', 'has', 'lab', 'o', 'yash'}",va has lab o yash
121,#innovation,{'innovation'},innovation
122,#thing,{'thing'},thing
123,#pakistanvaccination,"{'pakistan', 'vaccination'}",pakistan vaccination
124,#qualitative,{'qualitative'},qualitative
125,#cybersecurity,{'cybersecurity'},cybersecurity
126,#micromaxinnote1,"{'maxinnote1', 'micro'}",maxinnote1 micro
127,#5gsfor5g,{'5gsfor5g'},5gsfor5g
128,#hbaris,"{'is', 'h', 'bar'}",is h bar
129,#indianmemoir,"{'memoir', 'indian'}",memoir indian
130,#mixedreality,"{'mixed', 'reality'}",mixed reality
131,#bb14,{'bb14'},bb14
132,#sirsmember,"{'sirs', 'member'}",sirs member
133,#remotejob,"{'remote', 'job'}",remote job
134,#bjpgovtdictatingtwitter,"{'govt', 'twitter', 'dictating', 'bjp'}",govt twitter dictating bjp
135,#gawx,"{'ga', 'wx'}",ga wx
136,#californians,{'californians'},californians
137,#baas,{'baas'},baas
138,#deadlineday,"{'deadline', 'day'}",deadline day
139,#inject,{'inject'},inject
140,#bidkinurbanmultipurposenidhilimited,"{'kin', 'urban', 'nidhi', 'limited', 'bid', 'multipurpose'}",kin urban nidhi limited bid multipurpose
141,#cripthevote,"{'crip', 'the', 'vote'}",crip the vote
142,#btc,{'btc'},btc
143,#dairy,{'dairy'},dairy
144,#nmsf,"{'nm', 'sf'}",nm sf
145,#stpifinblue,"{'stp', 'if', 'blue', 'in'}",stp if blue in
146,#corporates,{'corporates'},corporates
147,#budget,{'budget'},budget
148,#strength,{'strength'},strength
149,#pubg,"{'pub', 'g'}",pub g
150,#nffc,{'nffc'},nffc
151,#s04,{'s04'},s04
152,#discountonsmartphone,"{'discount', 'on', 'smartphone'}",discount on smartphone
153,#financialinclusion,"{'financial', 'inclusion'}",financial inclusion
154,#bse,{'bse'},bse
155,#hypertension,{'hypertension'},hypertension
156,#devices,{'devices'},devices
157,#bank,{'bank'},bank
158,#rotatingcamera,"{'rotating', 'camera'}",rotating camera
159,#ubsresearch,"{'research', 'ubs'}",research ubs
160,#climateaction,"{'action', 'climate'}",action climate
161,#expelgreene,"{'lg', 'greene', 'expel'}",lg greene expel
162,#tripontech,"{'on', 'trip', 'tech'}",on trip tech
163,#5gsmartphones,"{'5g', 'smartphones'}",5g smartphones
164,#techtips,{'techtips'},techtips
165,#smartphones,{'smartphones'},smartphones
166,#adsxetra,"{'ads', 'xetra'}",ads xetra
167,#blackindata,"{'in', 'XOLO', 'data', 'black'}",in XOLO data black
168,#hs2rebellion,"{'rebellion', 'hs2'}",rebellion hs2
169,#follow4follow,"{'follow', '4'}",follow 4
170,#ethiopia,{'ethiopia'},ethiopia
171,#financial,{'financial'},financial
172,#vetoviolence,"{'veto', 'violence'}",veto violence
173,#wholesale,{'wholesale'},wholesale
174,#builder,{'builder'},builder
175,#housebuilding,{'housebuilding'},housebuilding
176,#schoolsreopening,"{'schools', 'reopening'}",schools reopening
177,#kajal,{'kajal'},kajal
178,#yey,{'yey'},yey
179,#thewidgetguy,"{'the', 'guy', 'widget'}",the guy widget
180,#buy,{'buy'},buy
181,#bluebirds,{'bluebirds'},bluebirds
182,#psusnot4sale,"{'sale', 'psusnot4'}",sale psusnot4
183,#mobilephone,"{'mobile', 'obi', 'phone'}",mobile obi phone
184,#battleforeuston,"{'battle', 'euston', 'for'}",battle euston for
185,#modihaitomumkinhai,{'modihaitomumkinhai'},modihaitomumkinhai
186,#bilycash,"{'cash', 'bily'}",cash bily
187,#pfas,"{'pf', 'as'}",pf as
188,#shareyourwork,"{'share', 'your', 'work'}",share your work
189,#redteam,"{'red', 'team'}",red team
190,#heartmonth,"{'month', 'heart'}",month heart
191,#tech786,{'tech786'},tech786
192,#dell,{'dell'},dell
193,#bepositive,"{'positive', 'be'}",positive be
194,#top,{'top'},top
195,#androiddev,"{'android', 'dev'}",android dev
196,#savejpwishtown,"{'save', 'jp', 'town', 'wish'}",save jp town wish
197,#wordsintoaction,"{'into', 'words', 'action'}",into words action
198,#lifestyle,{'lifestyle'},lifestyle
199,#taxlaws,"{'laws', 'tax'}",laws tax
200,#pegasus,"{'pegasus', 'asus'}",pegasus asus
201,#feedly,"{'feed', 'ly'}",feed ly
202,#inwx,"{'in', 'wx'}",in wx
203,#chad,{'chad'},chad
204,#oneplusnordn1,"{'XOLO', 'OnePlus', 'oneplusnordn1'}",XOLO OnePlus oneplusnordn1
205,#wallstreetbets,"{'wallstreet', 'bets'}",wallstreet bets
206,#beatntds,"{'beat', 'ntds'}",beat ntds
207,#gurgaon,{'gurgaon'},gurgaon
208,#edmonton,{'edmonton'},edmonton
209,#internetbanking,"{'banking', 'internet'}",banking internet
210,#cartoon,{'cartoon'},cartoon
211,#donaldtrump,"{'donald', 'trump'}",donald trump
212,#exams2021,{'exams2021'},exams2021
213,#shriramcityunionfinance,"{'union', 'city', 'shriram', 'finance'}",union city shriram finance
214,#cdc,{'cdc'},cdc
215,#accessibility,{'accessibility'},accessibility
216,#vivo,{'vivo'},vivo
217,#internet,{'internet'},internet
218,#coupon,{'coupon'},coupon
219,#micromax5g,"{'max5g', 'micro'}",max5g micro
220,#ethiopian,{'ethiopian'},ethiopian
221,#4g,{'4g'},4g
222,#careercoach,"{'coach', 'career'}",coach career
223,#zeroevictionjanuary,"{'Meizu', 'zero', 'eviction', 'january'}",Meizu zero eviction january
224,#wealthlooters,"{'wealth', 'looters'}",wealth looters
225,#iam11thsiddharth,"{'iam11th', 'siddharth'}",iam11th siddharth
226,#galaxynote20ultra,"{'e20', 'ultra', 'Samsung', 'not', 'galaxy'}",e20 ultra Samsung not galaxy
227,#samsung,{'samsung'},samsung
228,#techsmartx,"{'smart', 'x', 'tech'}",smart x tech
229,#realmev11,"{'real', 'mev11', 'realme'}",real mev11 realme
230,#uttarakhand,"{'hand', 'uttar', 'ak'}",hand uttar ak
231,#audio,{'audio'},audio
232,#strikersigned,"{'signed', 'striker'}",signed striker
233,#alcohol,{'alcohol'},alcohol
234,#hackers,{'hackers'},hackers
235,#changes,{'changes'},changes
236,#newspicks,"{'news', 'picks'}",news picks
237,#prevent,"{'Palm', 'prevent'}",Palm prevent
238,#nufc,{'nufc'},nufc
239,#vivo#s7series,"{'vivos7', 'vivo', 'series'}",vivos7 vivo series
240,#depositscheme,"{'deposit', 'scheme'}",deposit scheme
241,#vivos7t5g#smartphone,"{'vivo', 'vivos7t5g', 'smartphone'}",vivo vivos7t5g smartphone
242,#unite2fightcorona,"{'fight', 'unite2', 'corona', 'htc'}",fight unite2 corona htc
243,#womenintech,"{'women', 'in', 'tech'}",women in tech
244,#iphone12promax,"{'Apple', 'iphone12promax'}",Apple iphone12promax
245,#mahiherambha,"{'her', 'am', 'bha', 'mahi'}",her am bha mahi
246,#wordpress,{'wordpress'},wordpress
247,#top100prospects,"{'prospects', 'to', 'p100'}",prospects to p100
248,#engineering,{'engineering'},engineering
249,#ai,"{'a', 'i'}",a i
250,#machinelearning,"{'learning', 'machine'}",learning machine
251,#qualcommsnapdragon860,"{'snapdragon', 'qualcomm', '860'}",snapdragon qualcomm 860
252,#vaccinessavelives,"{'save', 'lives', 'vaccines'}",save lives vaccines
253,#stocks,{'stocks'},stocks
254,#swadeshi,{'swadeshi'},swadeshi
255,#medtwitter,"{'twitter', 'med'}",twitter med
256,#adaani,"{'ani', 'ada'}",ani ada
257,#cofacecrc,"{'crc', 'coface'}",crc coface
258,#amitshah,"{'shah', 'it', 'am'}",shah it am
259,#fact,{'fact'},fact
260,#techblogs,"{'blogs', 'tech'}",blogs tech
261,#oppo,{'oppo'},oppo
262,#news,{'news'},news
263,#dhani,{'dhani'},dhani
264,#xisthefuture,"{'is', 'the', 'future', 'x'}",is the future x
265,#mobilegaming,"{'mobile', 'obi', 'gaming'}",mobile obi gaming
266,#desh,{'desh'},desh
267,#iot,"{'Benefon', 'iot'}",Benefon iot
268,#opporeno5pro,"{'opporeno5pro', 'oppo'}",opporeno5pro oppo
269,#gordonrees,"{'gordon', 'rees'}",gordon rees
270,#loans,{'loans'},loans
271,#creditcard,"{'card', 'credit'}",card credit
272,#elegant,{'elegant'},elegant
273,#newsclick,"{'news', 'click'}",news click
274,#motoedges,"{'edges', 'moto'}",edges moto
275,#rmf,{'rmf'},rmf
276,#agribudget21,{'agribudget21'},agribudget21
277,#kidneydisease,"{'kidney', 'disease'}",kidney disease
278,#facemasks,{'facemasks'},facemasks
279,#sharadarvindbobde,"{'arvind', 'bob', 'de', 'sharad'}",arvind bob de sharad
280,#money,{'money'},money
281,#atifaslamnewsong,"{'at', 'slam', 'new', 'song', 'a', 'if'}",at slam new song a if
282,#galaxys21,"{'Samsung', 'galaxy', 's21'}",Samsung galaxy s21
283,#devops,"{'ops', 'dev'}",ops dev
284,#icc,{'icc'},icc
285,#your50statepartner,"{'partner', 'your', '50', 'state'}",partner your 50 state
286,#realmex7series,"{'real', 'mex7', 'realme', 'series'}",real mex7 realme series
287,#determination,{'determination'},determination
288,#climaterisk,"{'climate', 'risk'}",climate risk
289,#firefighter,{'firefighter'},firefighter
290,#influencers,{'influencers'},influencers
291,#middleclass,"{'middle', 'class'}",middle class
292,#breakingnews,"{'news', 'breaking'}",news breaking
293,#galaxyzflip,"{'z', 'flip', 'galaxy', 'Samsung'}",z flip galaxy Samsung
294,#theclicon,"{'clic', 'on', 'the'}",clic on the
295,#xiaomiredmi4x,"{'xiaomiredmi4x', 'xiaomi'}",xiaomiredmi4x xiaomi
296,#askruhez,"{'ask', 'z', 'ruhe'}",ask z ruhe
297,#smarthome,{'smarthome'},smarthome
298,#counting,{'counting'},counting
299,#folllow,"{'foll', 'low'}",foll low
300,#finance,{'finance'},finance
301,#trending,{'trending'},trending
302,#quarantine,{'quarantine'},quarantine
303,#nationalsecurity,"{'security', 'national'}",security national
304,#quoteoftheday,"{'quote', 'the', 'of', 'day'}",quote the of day
305,#exynos2100,{'exynos2100'},exynos2100
306,#fulhamfc,"{'fulham', 'fc'}",fulham fc
307,#tamil,{'tamil'},tamil
308,#kotakbank,"{'bank', 'kotak'}",bank kotak
309,#myanmar,{'myanmar'},myanmar
310,#bankofbaroda,"{'bank', 'of', 'baroda'}",bank of baroda
311,#smartphonewallpaper,"{'smart', 'wallpaper', 'phone'}",smart wallpaper phone
312,#iphone,"{'phone', 'i'}",phone i
313,#vaccine,{'vaccine'},vaccine
314,#protection,{'protection'},protection
315,#chainlink,"{'link', 'chain'}",link chain
316,#glasses,{'glasses'},glasses
317,#borntobefylde,"{'born', 'be', 'to', 'fylde'}",born be to fylde
318,#maps,{'maps'},maps
319,#hrconsultant,"{'hr', 'consultant'}",hr consultant
320,#poribortoninbengal,"{'pori', 'in', 'borton', 'bengal'}",pori in borton bengal
321,#sabobde,"{'bob', 'de', 'sa'}",bob de sa
322,#blackshark4,"{'XOLO', 'shark4', 'black'}",XOLO shark4 black
323,#ptvnewstonight,"{'ptv', 'tonight', 'news'}",ptv tonight news
324,#virtualreality,"{'virtual', 'reality'}",virtual reality
325,#mcfc,{'mcfc'},mcfc
326,#oldies,{'oldies'},oldies
327,#xrpfiled,"{'filed', 'xrp'}",filed xrp
328,#operators,{'operators'},operators
329,#strengththroughpeace,"{'through', 'hp', 'strength', 'peace'}",through hp strength peace
330,#reno5pro5g,"{'reno5pro5g', 'Oppo'}",reno5pro5g Oppo
331,#qualcomm,{'qualcomm'},qualcomm
332,#raleighparks,"{'raleigh', 'parks', 'hp'}",raleigh parks hp
333,#india,{'india'},india
334,#protamine,{'protamine'},protamine
335,#5g,{'5g'},5g
336,#ambaani,"{'baan', 'am', 'i'}",baan am i
337,#helmet,{'helmet'},helmet
338,#phonescreen,"{'screen', 'phone'}",screen phone
339,#bbcnews,"{'news', 'bbc'}",news bbc
340,#pragatikahighway,"{'pragati', 'ka', 'highway'}",pragati ka highway
341,#cybersec,"{'sec', 'cyber'}",sec cyber
342,#charger,{'charger'},charger
343,#uva,{'uva'},uva
344,#hallabol,"{'a', 'bol', 'hall'}",a bol hall
345,#saudi,{'saudi'},saudi
346,#brokenscreen,"{'broken', 'screen'}",broken screen
347,#happyvalentinesday,"{'valentines', 'happy', 'day'}",valentines happy day
348,#best5gsmartphone,"{'5g', 'best', 'smartphone'}",5g best smartphone
349,#becausewebsitematters,"{'website', 'because', 'matters'}",website because matters
350,#covid19,{'covid19'},covid19
351,#jasly,"{'ja', 'sly'}",ja sly
352,#phonerepair,"{'repair', 'phone'}",repair phone
353,#datascience,"{'science', 'data'}",science data
354,#world,{'world'},world
355,#oneplusnord,"{'one', 'nord', 'plus', 'OnePlus', 'XOLO'}",one nord plus OnePlus XOLO
356,#nse2021outlook,"{'outlook', 'nse2021'}",outlook nse2021
357,#photography,{'photography'},photography
358,#construction,{'construction'},construction
359,#opporeno5pro5g#launching18thjan2021,"{'oppo', 'launching', 'opporeno5pro5g', '18thjan2021'}",oppo launching opporeno5pro5g 18thjan2021
360,#kamkibat,"{'at', 'kib', 'kam'}",at kib kam
361,#france,{'france'},france
362,#reopenschools,"{'schools', 'reopen'}",schools reopen
363,#un,{'un'},un
364,#sdrf,"{'rf', 'sd'}",rf sd
365,#google,{'google'},google
366,#spy,{'spy'},spy
367,#newsupdate,"{'update', 'news'}",update news
368,#5gphones,"{'5g', 'phones'}",5g phones
369,#banknifty,"{'bank', 'nifty'}",bank nifty
370,#cardiovascular,{'cardiovascular'},cardiovascular
371,#bhafc,"{'hafc', 'b'}",hafc b
372,#sooryavanshi,"{'ory', 'a', 'vans', 'hi', 'so'}",ory a vans hi so
373,#teckexperts,"{'teck', 'experts'}",teck experts
374,#ptifamily,"{'family', 'pti'}",family pti
375,#realmev115g,"{'real', 'mev115g', 'realme'}",real mev115g realme
376,#clicon,"{'on', 'clic'}",on clic
377,#600mp,{'600mp'},600mp
378,#endsars,"{'end', 'sars'}",end sars
379,#dotherightthing,"{'do', 'the', 'thing', 'right'}",do the thing right
380,#stpiindia,"{'stpi', 'india'}",stpi india
381,#suicide,{'suicide'},suicide
382,#inmobiles,"{'mobiles', 'in', 'obi'}",mobiles in obi
383,#5gvideo,"{'5g', 'video'}",5g video
384,#blogger,{'blogger'},blogger
385,#debit,{'debit'},debit
386,#tigraygenocide,"{'genocide', 'tigray'}",genocide tigray
387,#home,{'home'},home
388,#sleek,{'sleek'},sleek
389,#specification,{'specification'},specification
390,#employees,{'employees'},employees
391,#thread,{'thread'},thread
392,#provideo,{'provideo'},provideo
393,#femtech,"{'fem', 'tech'}",fem tech
394,#realmenewphone,"{'new', 'realme', 'real', 'phone', 'me'}",new realme real phone me
395,#digitalwallet,"{'digital', 'wallet'}",digital wallet
396,#disconights,"{'disco', 'nights'}",disco nights
397,#worldcancerday,"{'world', 'day', 'cancer'}",world day cancer
398,#barnsleyfc,"{'fc', 'barnsley'}",fc barnsley
399,#nohijabday,"{'hijab', 'day', 'no'}",hijab day no
400,#discomusic,"{'disco', 'music'}",disco music
401,#vivox60,"{'vivox60', 'vivo'}",vivox60 vivo
402,#nordn105g,"{'nordn105g', 'OnePlus'}",nordn105g OnePlus
403,#liquor,{'liquor'},liquor
404,#oralhealth,"{'oral', 'health'}",oral health
405,#exynos10805g,{'exynos10805g'},exynos10805g
406,#oldiesbutgoodies,"{'oldies', 'but', 'goodies'}",oldies but goodies
407,#gtufamily,"{'family', 'gtu'}",family gtu
408,#hitsecurity,"{'security', 'hit'}",security hit
409,#techtip,{'techtip'},techtip
410,#a825g,{'a825g'},a825g
411,#oppofindx3pro,"{'oppofindx3pro', 'oppo'}",oppofindx3pro oppo
412,#pakistan,{'pakistan'},pakistan
413,#ukedchat,"{'ed', 'uk', 'chat'}",ed uk chat
414,#flapol,"{'flap', 'ol'}",flap ol
415,#holiday,{'holiday'},holiday
416,#rahulvaidya,"{'rahul', 'vaidya'}",rahul vaidya
417,#covid19insa,{'covid19insa'},covid19insa
418,#vr,{'vr'},vr
419,#ml,{'ml'},ml
420,#rejectthemilitary,"{'the', 'military', 'reject'}",the military reject
421,#healthcarelaw,"{'law', 'healthcare'}",law healthcare
422,#kpsehatcardplus,"{'plus', 'pse', 'hat', 'card', 'k'}",plus pse hat card k
423,#4xl,{'4xl'},4xl
424,#pwparty20,{'pwparty20'},pwparty20
425,#digitalsavingaccount,"{'account', 'digital', 'saving'}",account digital saving
426,#boya,"{'a', 'boy'}",a boy
427,#techsinghboy,"{'boy', 'singh', 'tech'}",boy singh tech
428,#nipah,{'nipah'},nipah
429,#disruption,{'disruption'},disruption
430,#onted,"{'on', 'ted'}",on ted
431,#whereisu,"{'isu', 'where'}",isu where
432,#cellphonesandaccessories,"{'cell', 'and', 'phones', 'accessories'}",cell and phones accessories
433,#familyhistorymatters,"{'history', 'family', 'matters'}",history family matters
434,#gelato,{'gelato'},gelato
435,#pixel,"{'Google', 'pixel'}",Google pixel
436,#riskmanagement,"{'risk', 'management'}",risk management
437,#care,{'care'},care
438,#rera,"{'ra', 're'}",ra re
439,#staking,{'staking'},staking
440,#covid,"{'co', 'vid'}",co vid
441,#iphone12pro,"{'Apple', 'iphone12pro'}",Apple iphone12pro
442,#asus,{'asus'},asus
443,#nord,"{'nord', 'OnePlus'}",nord OnePlus
444,#cellular,{'cellular'},cellular
445,#siem,{'siem'},siem
446,#budgetphone,"{'budget', 'phone'}",budget phone
447,#ippbmobileapp,"{'ppb', 'i', 'mobile', 'app', 'obi'}",ppb i mobile app obi
448,#litigation,{'litigation'},litigation
449,#tgfamily,"{'tg', 'family'}",tg family
450,#transfers,{'transfers'},transfers
451,#take,{'take'},take
452,#mi10price,"{'mi10', 'price'}",mi10 price
453,#trudeauactnow,"{'now', 'trudeau', 'act'}",now trudeau act
454,#lifesavingacts,"{'lifesaving', 'acts'}",lifesaving acts
455,#lifecertificate,"{'certificate', 'life'}",certificate life
456,#disable,{'disable'},disable
457,#bajajfinance,"{'bajaj', 'finance'}",bajaj finance
458,#onpoli,"{'on', 'poli'}",on poli
459,#electronics,{'electronics'},electronics
460,#features,{'features'},features
461,#funk,{'funk'},funk
462,#mppolicebharti2020,{'mppolicebharti2020'},mppolicebharti2020
463,#designtwitter,"{'twitter', 'design'}",twitter design
464,#2021,"{'2021', 'i'}",2021 i
465,#itelsmartphones,"{'tel', 'smartphones', 'i'}",tel smartphones i
466,#thursdayvibes,"{'thursday', 'vibes'}",thursday vibes
467,#business,{'business'},business
468,#tot,{'tot'},tot
469,#risk,{'risk'},risk
470,#psychosis,{'psychosis'},psychosis
471,#sb498,{'sb498'},sb498
472,#design,{'design'},design
473,#allow,{'allow'},allow
474,##reset,{'reset'},reset
475,#wireless,{'wireless'},wireless
476,#redmi,"{'red', 'mi'}",red mi
477,#businessowners,"{'owners', 'business'}",owners business
478,#4k,{'4k'},4k
479,#wildlifephotography,"{'photography', 'wildlife'}",photography wildlife
480,#latestindustrynews,"{'latest', 'industry', 'news'}",latest industry news
481,#rakhisawant,"{'sawant', 'rakhi'}",sawant rakhi
482,#wifi,{'wifi'},wifi
483,#parliamentsession,"{'session', 'parliament'}",session parliament
484,#snapdragon,{'snapdragon'},snapdragon
485,#motorolaedges,"{'motorola', 'edges'}",motorola edges
486,#faug,"{'f', 'aug'}",f aug
487,#golddeposit,"{'deposit', 'gold'}",deposit gold
488,#realmex2pro,"{'real', 'mex2pro', 'realme'}",real mex2pro realme
489,#vivoy31,"{'vivo', 'vivoy31'}",vivo vivoy31
490,#startups,"{'Plum', 'startups'}",Plum startups
491,#psycho,{'psycho'},psycho
492,#faq,{'faq'},faq
493,#unscactnow,"{'act', 'now', 'unsc'}",act now unsc
494,#ar,{'ar'},ar
495,#environmentalcrimes,"{'environmental', 'crimes'}",environmental crimes
496,#covid19sa,{'covid19sa'},covid19sa
497,#nice,{'nice'},nice
498,#samsunga52,"{'samsung', 'a52'}",samsung a52
499,#farmersprotestdelhi2020,"{'protest', 'delhi', '2020', 'farmers'}",protest delhi 2020 farmers
500,#covidwarriors,"{'warriors', 'co', 'vid'}",warriors co vid
501,#oafc,"{'o', 'afc'}",o afc
502,#mimobile,"{'mobile', 'mi', 'imo', 'obi'}",mobile mi imo obi
503,#mobilephoto,"{'mobile', 'photo', 'obi'}",mobile photo obi
504,#ps5,{'ps5'},ps5
505,#myth,{'myth'},myth
506,#aipowered,"{'a', 'i', 'powered'}",a i powered
507,#lg,{'lg'},lg
508,#lcog,"{'cog', 'l'}",cog l
509,#nordn15g,"{'nordn15g', 'OnePlus'}",nordn15g OnePlus
510,#datachor,"{'data', 'chor'}",data chor
511,#galaxy,"{'galaxy', 'Samsung'}",galaxy Samsung
512,#operationhaftavasoli,"{'va', 'operation', 'soli', 'hafta'}",va operation soli hafta
513,#bjp,{'bjp'},bjp
514,#motorola,{'motorola'},motorola
515,#hs2,{'hs2'},hs2
516,#bfbchampions,"{'bfb', 'champions'}",bfb champions
517,#lenovo,{'lenovo'},lenovo
518,#ilwx,"{'il', 'wx'}",il wx
519,#blendedfinance,"{'finance', 'blended'}",finance blended
520,#morning,{'morning'},morning
521,#propertyrecords,"{'property', 'records'}",property records
522,#mobilephones,"{'mobile', 'phones', 'obi'}",mobile phones obi
523,#fcc,{'fcc'},fcc
524,#108mpcameraphone,"{'108mp', 'camera', 'phone'}",108mp camera phone
525,#70s,{'70s'},70s
526,#shameonyou,"{'you', 'on', 'shame'}",you on shame
527,#redirect,{'redirect'},redirect
